hesId,status,fullnessPercent,sourceClass,source,provider,method,observedAt,sourcePublishedAt,fetchedAt,freshnessDays,freshnessLabel,confidence,isEstimated,storageType,epiasMatch,dsiMatch,dahitiMatch,hydrowebMatch,copernicusMatch,swotMatch,gRealmMatch,gdwMatch,candidateSourceCount,bestCatalogSource,bestCatalogSourceUrl,bestCatalogDistanceKm,catalogConfidence,fullnessDirectlyAvailable,fullnessCanBeCalculated,reasonUnavailable
hes177-154,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-155,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-159,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-160,stale,48.27741702741703,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-161,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-162,stale,1.1228262357935095,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-163,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-164,stale,40.18951764013063,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-167,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-168,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-171,stale,73.36911643270025,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-174,stale,0.0,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-175,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-176,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-177,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
