topic,folder,source_pptx,source_media,output_file,width,height,format,processing
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image1.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_01.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image2.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_02.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image3.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_03.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image4.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_04.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image5.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_05.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image6.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image7.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image8.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_08.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image9.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_09.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image10.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_10.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image11.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_11.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image12.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_12.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image13.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_13.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Türkiye PDHES Yatırım Yol Haritası,turkiye_pdhes_yatirim_yol_haritasi,Turkey_PSH_Investment_Blueprint.pptx,ppt/media/image14.png,turkiye_pdhes_yatirim_yol_haritasi/turkiye_pdhes_yatirim_yol_haritasi_14.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
